key,canonical_count,legacy_count,legacy_sample
el manana | gorillaz,2,2,El Manana / Gorillaz
santa maria | gotan project,2,2,Santa Maria (del Buen Ayre) / Gotan Project
maneater | grace mitchell,2,2,Maneater / Grace Mitchell
guilty | gravity kills,6,6,Guilty / Gravity Kills
man in mirror | greg steinfeld,3,3,Man in the Mirror / Greg Steinfeld
everybody wants you | gretchen wilson,2,2,Everybody Wants You / Gretchen Wilson
pure imagination | griff,2,2,Pure Imagination / Griff
at river | groove armada,2,2,At the River / Groove Armada
my friend | groove armada,2,2,My Friend / Groove Armada
talking in your sleep | groove da praia,2,2,Talking in Your Sleep (Bossa Nova Mix) / Groove Da Praia
rhythm of night | groove da praia,2,2,The Rhythm of the Night / Groove Da Praia
send me an angel | gunship,2,2,Send Me an Angel / GUNSHIP
somewhere only we know | gustixa,2,2,Somewhere Only We Know / Gustixa
somewhere only we know | gustixa and rhianne,2,2,Somewhere Only We Know / Gustixa & Rhianne
